Generic Name,BDDCS Class,Maximum Strength Dose Value,Maximum Strength Dose Unit,Formulation,Route,Measured Solubility (mg/mL),Dose Number,% Excreted Unchanged in Urine,MW Drug,MW Sol,pDose,Measured LogS (molar),Measured LogP,Measured LogD74,ALOGPS 2.1 solubility,cDose Number (ALOGPS based),minVSLgS 3-7.5,cDose Number (minVSLgS based),CLogP,HBA,HBD,PSA,Ro5,PSDA
Abacavir Sulfate,1,300,mg,tablets,oral,77,0.02,1.2,286.34,286.34,2.98,-0.57,1.2,1.2,-2.37,1,-3.07,4.1,0.81,6,3,95.8,0,2.99
Acarbose,1,100,mg,tablets,oral,,,1,645.62,645.62,3.81,,-8.83,,-0.64,0.003,3.3,0.0000003,-6.66,19,14,351.8,3,1.84
Acebutolol Hydrochloride,1,400,mg,capsules,oral,,,10,336.43,336.43,2.92,,1.71,0.19,-3.27,8.9,-1.46,0.1,1.71,5,3,97.05,0,3.47
Acetaminophen; Paracetamol,1,1000,mg,tablets,oral,23.7,0.2,3,151.17,151.17,2.18,-0.8,0.2,0.4,-1.55,0.9,-1.66,1.2,0.49,2,2,55.41,0,2.73
Acetohexamide,1,500,mg,tablets,oral,3.43,0.6,,324.4,324.4,2.81,-1.98,2.44,-0.36,-3.85,44,-3.13,8.2,2.25,4,2,103.22,0,3.14
Acetylsalicylic Acid; Aspirin,1,500,mg,tablets,oral,10,0.2,1.4,180.16,180.16,2.56,-1.26,1.19,-2.57,-2.09,1.4,-0.94,0.1,1.02,3,1,68.21,0,2.64
Adenosine,1,3,mg/mL,solution,injection (i.v.),5,,0,267.25,267.25,,-1.73,-0.98,-1.1,-1.26,,-1.37,,-2.16,8,4,135.44,0,1.97
Alfacalcidol,1,1,æg,capsules,oral,,,8,400.65,400.65,8.6,,,,-5.39,0.002,-5.86,0.007,8.24,2,2,45.12,1,8.88
Alfentanil,1,1,mg/mL,solution,injection (i.v.),,,0.5,416.53,416.53,,,2.16,2.1,-3.22,,-4.12,,2.13,6,0,77.73,0,5.36
Alfuzosin,1,10,mg,tablets,oral,,,11,389.46,389.46,4.59,,,-1.18,-3.13,0.1,-3.8,0.6,2.55,8,2,108.88,0,3.58
Aliskiren,1,300,mg,tablets,oral,350,0.003,25,551.77,551.77,3.26,-0.2,,2.45,-5.42,572,-3.09,2.7,3.51,7,4,156.62,1,3.52
Alosetron,1,1,mg,tablets,oral,61,0.00007,6,294.36,294.36,5.47,-0.68,,,-2.82,0.009,-3.26,0.02,1.74,2,1,44.23,0,6.66
Alprazolam,1,2,mg,tablets,oral,0.073,0.1,20,308.77,308.77,5.19,-3.63,2.12,1.26,-3.98,0.2,-3.68,0.1,2.56,3,0,33.27,0,9.28
Alprenolol,1,200,mg,tablets,oral,50,0.02,0.5,249.36,249.36,3.1,-0.7,3.1,1.34,-3.09,3.9,-0.86,0.02,2.65,3,2,46.24,0,5.39
Ambrisentan,1,10,mg,tablets,oral,0.06,0.7,5,376.46,376.46,4.58,-3.8,,,-4.6,4.2,-3.35,0.2,3.33,5,1,70.11,0,5.37
Ambroxol,1,30,mg,tablets,oral,10.9,0.01,8,364.08,364.08,4.08,-1.52,,,-3.98,3.1,-2.44,0.09,2.66,3,3,64.5,0,5.64
Amifostine,1,5,mg/mL,solution,injection (i.v.),,,0.69,214.22,214.22,,,-1.04,,-1.06,,3.12,,-1.85,5,4,106.66,0,2.01
Aminophenazone; Aminopyrine,1,300,mg,tablets,oral,55.55,0.02,,231.3,231.3,2.89,-0.62,,1,-0.7,0.03,-2.23,0.9,1.04,3,0,26.79,0,8.63
Amitriptyline Hydrochloride,1,150,mg,tablets,oral,1000,0.0006,1,277.41,313.86,3.27,0.5,4.92,2.95,-4.79,118,-2.29,0.4,4.85,1,0,1.18,0,235.1
Amlodipine,1,10,mg,tablets,oral,,,10,408.89,408.89,4.61,,3,1.68,-4.72,5.1,-1.79,0.006,3.43,5,2,105.47,0,3.88
Amoxapine,1,150,mg,tablets,oral,,,,313.79,313.79,3.32,,,,-3.25,3.4,-2.43,0.5,3.41,3,1,34.47,0,9.1
Amsacrine,1,33,mg/mL,solution,injection (i.v.),,,10,393.47,393.47,,,,,-5.11,,-1.37,,4.69,5,2,85.11,0,4.62
Anastrozole,1,1,mg,tablets,oral,0.5,0.008,10,293.37,293.37,5.47,-2.77,,,-3.65,0.06,-3.6,0.05,1.29,4,0,61.36,0,4.78
Anhydrovinblastine; Anhydrovincaleukoblastine,1,1,mg/mL,solution,injection (i.v.),10,0.0004,0.5,792.98,792.98,,-1.9,3.7,3.69,-5.01,,-7.12,,6.11,8,2,130.05,2,6.1
Antipyrine; Phenazone,1,500,mg,tablets,oral,1700,0.001,0.5,188.23,188.23,2.58,0.96,,0.28,-0.7,0.05,-1.79,0.7,0.2,2,0,22.02,0,8.55
Apomorphine,1,3,mg,tablets,injection (s.c.),20,0.0005,0.3,267.33,267.33,5.02,-1.13,2.3,,-2.71,,-2.73,,2.49,3,2,46.92,0,5.7
Asenapine,1,10,mg,tablets,oral,,,1,285.78,285.78,4.46,,,,-3.96,1.3,-2.41,0.04,4.58,1,0,10.59,0,26.99
Atomoxetine,1,60,mg,capsules,oral,27.8,0.009,1.5,255.36,255.36,3.63,-0.96,,,-4.81,61,-1.14,0.01,3.94,2,1,23.68,0,10.78
Azathioprine,1,100,mg,tablets,oral,10,0.04,1,277.27,277.27,3.44,-1.44,0.1,0.02,-2.42,0.4,-2.72,0.8,0.51,6,1,99.66,0,2.78
Bambuterol,1,20,mg,tablets,oral,33,0.002,0,367.45,367.45,4.26,-1.05,1.5,-2.58,-2.89,0.2,-1.56,0.008,0.56,4,2,94.24,0,3.9
Benazepril,1,40,mg,tablets,oral,78,0.002,0.5,424.5,424.5,4.03,-0.74,,1.1,-4.57,14,-1.84,0.03,1.82,5,2,101.61,0,4.18
Bendamustine,1,5,mg/mL,solution,injection (i.v.),,,1,358.27,358.27,,,,,-2.48,,-0.83,,2.76,4,1,69.78,0,5.13
Benidipine,1,8,mg,tablets,oral,1.9,0.02,1,535.65,535.65,4.83,-2.45,,,-6.49,185,-5.69,29,7.41,0,0,112.85,2,4.75
Benserazide,1,50,mg,tablets,oral,,,1,257.25,257.25,3.71,,,,-1.7,0.04,2.13,0.000006,-2.9,7,7,169.84,1,1.51
Benznidazole,1,100,mg,tablets,oral,0.4,1,,260.25,260.25,3.42,-2.81,,,-2.83,1,-2.65,0.7,0.9,4,1,87.81,0,2.96
Bepridil,1,400,mg,tablets,oral,5,0.3,0.5,366.55,366.55,2.96,-1.87,,2,-4.75,245,-4.29,85,6.2,3,0,10.84,1,33.81
Beraprost,1,0,mg,tablets,oral,19,0.000008,,398.5,398.5,7,-1.32,,,-4.6,0.02,-4.64,0.02,2.04,5,3,95.05,0,4.19
Betamethasone,1,5,mg,tablets,oral,0.066,0.3,4.8,392.47,392.47,4.89,-3.77,1.94,1.94,-3.9,0.4,-3.61,0.2,1.79,5,3,104.22,0,3.77
Betaxolol,1,20,mg,tablets,oral,0.451,0.2,15,307.44,307.44,4.19,-2.83,2.81,0.55,-4.01,2.7,-1.66,0.01,2.32,4,2,55.03,0,5.59
Bimatoprost,1,0,mg/mL,solution,ophthalmic,0.8,,,415.58,415.58,,-2.72,,,-4.35,,-5.44,,1.75,4,4,100.52,0,4.13
Biperiden,1,2,mg,tablets,oral,1,0.008,,311.47,311.47,5.19,-2.49,4.25,,-4.86,1.9,-1.93,0.002,4.94,2,1,23.73,0,13.13
Bopindolol,1,2,mg,tablets,oral,3.3,0.002,0,380.49,380.49,5.28,-2.06,,4.22,-5.38,5,-3.92,0.2,4.98,3,2,64.71,0,5.88
Bortezomib,1,1,mg/mL,solution,injection (i.v.),3.3,,,384.25,384.25,,-2.07,,,-3.89,,-4.09,,0.78,6,4,151.53,0,2.54
Brimonidine,1,2,mg/mL,solution,ophthalmic,1.5,,10,292.14,292.14,,-2.29,0.78,,-3.27,,-2,,1.49,5,2,58.94,0,4.96
Bromazepam,1,6,mg,tablets,oral,0.17,0.1,,316.16,316.16,4.72,-3.27,2.05,1.54,-3.9,0.6,-3.47,0.2,1.7,3,1,52.4,0,6.03
Bromocriptine,1,5,mg,capsules,oral,0.8,0.03,2,654.61,654.61,5.12,-2.91,,4.59,-3.89,0.2,-6.8,191,6.58,6,3,118.24,2,5.54
Bromperidol,1,10,mg,tablets,oral,0.09,0.4,0.5,420.33,420.33,4.62,-3.67,2.74,3.34,-4.79,5.9,-3.84,0.7,4,3,1,42.01,0,10.01
Budesonide,1,3,mg,capsules,oral,0.02,0.6,0,430.55,430.55,5.16,-4.33,3.2,2.7,-3.98,0.3,-4.71,1.4,2.91,6,2,99.25,0,4.34
Buflomedil Hydrochloride,1,300,mg,tablets,oral,,,23.6,307.39,307.39,3.01,,,-0.75,-2.8,2.5,-1.23,0.07,2.93,5,0,46.76,0,6.57
Bupivacaine,1,5,mg/mL,solution,injection (epidural),0.17,,2,288.44,288.44,,-3.23,3.41,,-3.49,,-3.53,,3.69,2,1,33.72,0,8.55
Buprenorphine Hydrochloride,1,8,mg,tablets,oral,17,0.002,1,467.65,504.1,4.77,-1.47,4.98,,-4.43,1.7,-3.58,0.2,3.99,5,2,64.5,0,7.25
Bupropion,1,100,mg,tablets,oral,312,0.001,0.5,239.75,239.75,3.38,0.11,,3.27,-3.53,5.7,-1.99,0.2,3.21,2,1,32.84,0,7.3
Busulfan (Busulphan),1,2,mg,tablets,oral,0.1,0.08,1,246.3,246.3,5.09,-3.39,-0.52,-0.52,-1.68,0.002,-1.2,0.0005,-0.59,4,0,92.04,0,2.68
Butabarbital,1,100,mg,tablets,oral,,,1,212.25,212.25,3.33,,1.65,1.45,-2.18,0.3,-2.42,0.5,1.58,3,2,83.96,0,2.53
Butalbital,1,50,mg,tablets,oral,,,3.6,224.26,224.26,3.65,,,,-2,0.09,-2.74,0.5,1.63,3,2,83.96,0,2.67
Butorphanol,1,5,mg,tablets,oral,2,0.01,2,327.47,327.47,4.82,-2.21,2.26,,-3.3,0.1,-2.4,0.02,3.73,3,2,46.61,0,7.03
Caffeine,1,65,mg,tablets,oral,21.5,0.01,1,194.19,194.19,3.48,-0.96,-0.07,-0.07,-1.26,0.02,-1.95,0.1,-0.04,3,0,48.5,0,4
Capecitabine,1,500,mg,tablets,oral,26,0.08,3,359.36,359.36,2.86,-1.14,,,-3.17,8.2,-3.45,16,0.84,6,3,124.33,0,2.89
Carbidopa,1,25,mg,tablets,oral,2.5,0.04,5.3,226.23,226.23,3.96,-1.96,,,-1.79,0.03,1.33,0.00002,-0.45,6,5,132.39,0,1.71
Caspofungin Acetate,1,6,mg/mL,solution,injection (i.v.),,,1.4,1093.34,1093.34,,,,,-3.46,,-3.18,,-2.95,18,16,454.42,3,2.41
Cerivastatin,1,1,mg,tablets,oral,195,0.00002,24,459.56,459.56,5.76,-0.37,,,-5,0.7,-2,0.0007,3.56,6,3,104.98,0,4.38
Cetrorelix,1,3,mg/mL,solution,injection (s.c.),8,,3,1431.07,1431.07,,-2.25,,,-5.31,,-7,,-0.4,18,17,543.33,3,2.63
Cevimeline,1,30,mg,capsules,oral,,,13.5,199.32,199.32,3.82,,,,-1.93,0.05,-1.32,0.01,1.14,2,0,9.97,0,19.99
Chloral Hydrate,1,500,mg,capsules,oral,8300,0.0002,,165.4,165.4,2.52,1.7,0.99,1.61,-0.56,0.04,-0.77,0.07,0.72,2,2,45.12,0,3.67
Chlorambucil,1,2,mg,tablets,oral,12,0.0007,0.5,304.22,304.22,5.18,-1.4,3.25,1.59,-3.6,0.1,-0.27,0.00005,3.63,3,1,41.7,0,7.3
Chloramphenicol,1,250,mg,capsules,oral,2.5,0.4,5,323.13,323.13,3.11,-2.11,1.14,1,-2.84,2.1,-2.79,1.9,1.28,5,3,122.11,0,2.65
Chlordiazepoxide,1,25,mg,capsules,oral,2,0.05,0.5,299.76,299.76,4.08,-2.18,2.44,2.19,-4.18,5,-2.65,0.1,3.79,3,1,45.94,0,6.53
Chlormethiazole; Clomethiazole,1,192,mg,capsules,oral,10,0.08,0.05,161.65,161.65,2.93,-1.21,2.12,2.12,-2.39,1.2,-1.8,0.3,1.68,1,0,10.24,0,15.79
Chlorpheniramine,1,4,mg,tablets,oral,,,10,274.8,274.8,4.84,,3.38,1.38,-3.69,0.3,-1.57,0.002,3.15,2,0,11.42,0,24.06
Chlorpromazine,1,200,mg,tablets,oral,400,0.002,0.5,318.87,318.87,3.2,0.1,5.41,2.82,-4.88,190,-2.69,1.2,5.3,2,0,1.75,1,182.21
Cilazapril,1,5,mg,tablets,oral,1,0.02,0,417.51,417.51,4.92,-2.62,,-2.25,-2.6,0.02,-0.78,0.0003,1.47,6,2,106.36,0,3.93
Cisplatin,1,1,mg/mL,solution,injection (i.v.),2.53,,2.3,300.06,300.06,,-2.07,-2.53,,,,,,-1.68,0,2,75.29,0,3.99
Clemastine,1,2,mg,tablets,oral,2.3,0.003,5,343.9,343.9,5.24,-2.17,5.49,3.04,-5.94,20,-2.56,0.009,5.45,2,0,9.97,1,34.49
Clindamycin Hydrochloride Hydrate,1,300,mg,capsules,oral,40,0.03,13,424.99,479.42,3.15,-1.08,2.16,,-2.14,0.3,-2.99,2.4,2.57,6,4,110.49,0,3.85
Clobazam,1,10,mg,tablets,oral,0.188,0.2,,300.75,300.75,4.48,-3.2,2.12,1.9,-3.28,0.3,-3.63,0.6,2.44,2,0,37.99,0,7.92
Clofibric Acid,1,,active metabolite,,,45,,5.7,214.65,214.65,,-0.68,2.57,-1.13,-2.95,,-1.63,,2.82,3,1,49.94,0,4.3
Clomiphene Citrate,1,50,mg,tablets,oral,1.11,0.2,8,405.97,598.08,3.91,-2.73,6.7,,-5.99,327,-4.24,5.8,7.15,2,0,10.28,1,39.49
Clomipramine,1,75,mg,tablets,oral,,,,314.86,314.86,3.62,,5.19,2.76,-4.33,20,-2.56,0.3,5.92,2,0,1.75,1,179.92
Clonazepam,1,2,mg,tablets,oral,0.1,0.08,0.5,315.72,315.72,5.2,-3.5,2.41,2.41,-4.47,0.7,-3.96,0.2,2.38,4,1,86.3,0,3.66
Clorazepate,1,15,mg,tablets,oral,,,0.5,314.73,314.73,4.32,,,-1.13,-4.1,2.4,-2.36,0.04,2.51,4,2,82.98,0,3.79
Cocaine,1,0,mg/mL,solution,topical (nasal),1.6,,1,303.36,303.36,,-2.28,2.3,2.3,-1.78,,-2.85,,2.57,3,0,55.3,0,5.49
Codeine Monohydrate,1,60,mg,tablets,oral,435,0.0006,0.1,299.37,317.39,3.7,0.14,1.19,0.21,-2.74,0.4,-1.4,0.02,0.98,4,1,41.94,0,7.14
Colchicine,1,1,mg,tablets,oral,45,0.00005,,399.45,399.45,5.82,-0.95,1.3,1.03,-4.15,0.08,-3.9,0.05,1.2,6,1,87.54,0,4.56
Cortisone,1,25,mg,tablets,oral,0.28,0.4,,360.45,360.45,4.16,-3.11,1.47,1.47,-3.43,0.7,-3.52,0.9,1.3,5,2,99.93,0,3.61
Cyanocobalamin (Vitamin B12),1,5,mg,tablets,oral,12.5,0.002,0.5,1355.4,1355.4,5.43,-2.04,,,-4.62,0.6,0.05,0.00001,-1.36,17,9,492.69,3,2.75
Cyclizine,1,50,mg,tablets,oral,8.7,0.02,0.5,266.39,266.39,3.73,-1.49,,,-3.55,2.7,-2.97,0.7,3.8,2,0,2.35,0,113.36
Cyclobenzaprine,1,10,mg,tablets,oral,200,0.0002,0.5,275.4,275.4,4.44,-0.14,,,-4.6,5.8,-2.58,0.06,5.1,1,0,1.18,1,233.39
Cyclophosphamide,1,50,mg,tablets,oral,40,0.005,6.5,261.09,261.09,3.72,-0.81,0.63,0.63,-1.22,0.01,-1.92,0.06,0.8,2,1,44.31,0,5.89
Cyproheptadine,1,4,mg,tablets,oral,3.636,0.004,0.5,287.41,287.41,4.86,-1.9,4.69,,-4.31,1.1,-3.19,0.09,5.3,1,0,1.18,1,243.57
